Landmarks,1441,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
66,JUGAL_LEFT_split_part1.2.20,normal,-5.840175e+00,5.041363e+01,-3.795309e+01,-1.310070e-01,-5.214990e-03,9.913678e-01
67,JUGAL_LEFT_split_part1.2.21,normal,-8.323634e+00,5.145142e+01,-3.792554e+01,-1.266043e-01,-2.164982e-01,9.680393e-01
68,JUGAL_LEFT_split_part1.2.22,normal,-1.070905e+01,5.268297e+01,-3.772898e+01,4.363389e-04,-5.169309e-02,9.986629e-01
69,JUGAL_LEFT_split_part2.3.1,normal,-3.974458e+01,5.111544e+01,-3.590213e+01,4.519164e-01,-3.889774e-01,8.027877e-01
70,JUGAL_LEFT_split_part2.3.2,normal,-4.215182e+01,5.033609e+01,-3.433998e+01,8.589280e-01,-4.858178e-03,5.120735e-01
71,JUGAL_LEFT_split_part2.3.3,normal,-4.441521e+01,4.947035e+01,-3.261652e+01,7.017549e-01,-2.288401e-01,6.746646e-01
72,JUGAL_LEFT_split_part2.3.4,normal,-4.681490e+01,4.868607e+01,-3.104507e+01,5.224301e-01,-4.136792e-01,7.456114e-01
73,JUGAL_LEFT_split_part3.4.01,normal,-5.256629e+01,6.153659e+01,-3.748590e+01,8.135809e-01,-3.481461e-01,4.657044e-01
74,JUGAL_LEFT_split_part3.4.02,normal,-5.454953e+01,6.038872e+01,-3.551351e+01,9.909867e-01,-8.232322e-02,1.056807e-01
75,JUGAL_LEFT_split_part3.4.03,normal,-5.574102e+01,5.940582e+01,-3.291425e+01,-7.034029e-01,7.002677e-01,-1.218591e-01
76,JUGAL_LEFT_split_part3.4.04,normal,-5.769974e+01,5.854991e+01,-3.077589e+01,7.356550e-02,8.569602e-01,5.101054e-01
77,JUGAL_LEFT_split_part3.4.05,normal,-6.095940e+01,5.771746e+01,-2.821570e+01,-6.806827e-02,9.189444e-01,3.884687e-01
78,JUGAL_LEFT_split_part3.4.06,normal,-6.443245e+01,5.647755e+01,-2.614824e+01,-5.358423e-01,7.792657e-01,-3.249892e-01
79,JUGAL_LEFT_split_part3.4.07,normal,-6.771783e+01,5.471944e+01,-2.415139e+01,-6.198147e-01,5.469551e-01,-5.627344e-01
80,JUGAL_LEFT_split_part3.4.08,normal,-7.130746e+01,5.226592e+01,-2.219295e+01,-5.752830e-01,4.707113e-01,-6.689399e-01
81,JUGAL_LEFT_split_part3.4.09,normal,-7.434323e+01,4.911853e+01,-2.029099e+01,-7.810561e-01,2.593613e-02,-6.239220e-01
82,JUGAL_LEFT_split_part3.4.10,normal,-7.835258e+01,4.667062e+01,-1.947089e+01,-5.367559e-01,7.006671e-01,-4.700625e-01
83,Jugal_RIGHT.5.01,normal,3.054638e+01,-4.468085e+01,-6.590096e+00,5.129887e-01,-7.671224e-01,-3.851829e-01
84,Jugal_RIGHT.5.02,normal,2.705363e+01,-4.433717e+01,-8.975346e+00,7.701111e-01,-5.143523e-01,-3.773203e-01
85,Jugal_RIGHT.5.03,normal,2.347333e+01,-4.429075e+01,-1.125279e+01,2.820776e-01,-7.871361e-01,-5.484970e-01
86,Jugal_RIGHT.5.04,normal,1.963600e+01,-4.428079e+01,-1.306446e+01,3.787599e-01,-5.864216e-01,-7.159963e-01
87,Jugal_RIGHT.5.05,normal,1.570842e+01,-4.495195e+01,-1.477642e+01,4.436604e-01,-5.688221e-01,-6.925365e-01
88,Jugal_RIGHT.5.06,normal,1.206383e+01,-4.628679e+01,-1.671073e+01,5.285070e-01,-3.927323e-01,-7.526233e-01
89,Jugal_RIGHT.5.07,normal,8.596645e+00,-4.776216e+01,-1.885783e+01,5.349367e-01,-1.795359e-01,-8.255965e-01
90,Jugal_RIGHT.5.08,normal,4.716075e+00,-4.935164e+01,-2.117352e+01,5.938556e-01,-2.724329e-01,-7.570442e-01
91,Jugal_RIGHT.5.09,normal,7.630785e-01,-5.100909e+01,-2.331227e+01,5.729076e-01,-2.923913e-01,-7.656920e-01
92,Jugal_RIGHT.5.10,normal,-3.149033e+00,-5.278816e+01,-2.542838e+01,4.946634e-01,-3.734648e-01,-7.847499e-01
93,Jugal_RIGHT.5.11,normal,-7.496483e+00,-5.493689e+01,-2.743657e+01,5.445697e-01,-3.474173e-01,-7.633775e-01
94,Jugal_RIGHT.5.12,normal,-1.214754e+01,-5.690937e+01,-2.886061e+01,2.214829e-01,-3.007674e-01,-9.276230e-01
95,Jugal_RIGHT.5.13,normal,-1.690241e+01,-5.868958e+01,-3.019234e+01,4.105225e-01,-8.124277e-01,-4.140441e-01
96,Jugal_RIGHT.5.14,normal,-2.001415e+01,-6.042171e+01,-3.146510e+01,3.343038e-01,-4.982629e-01,-7.999845e-01
97,Jugal_RIGHT.5.15,normal,-2.361377e+01,-6.133421e+01,-3.218159e+01,1.839835e-01,-6.631690e-01,-7.255047e-01
98,Jugal_RIGHT.5.16,normal,-2.729858e+01,-6.202197e+01,-3.268346e+01,1.389863e-01,-6.786922e-01,-7.211516e-01
99,Jugal_RIGHT.5.17,normal,-3.435600e+01,-6.243742e+01,-3.307896e+01,1.494578e-02,-7.648008e-01,-6.440935e-01
100,Jugal_RIGHT.5.18,normal,-4.140869e+01,-6.198102e+01,-3.264175e+01,-2.899954e-01,-8.590487e-01,-4.218272e-01
101,Jugal_RIGHT.5.19,normal,-4.827878e+01,-6.059915e+01,-3.162669e+01,-1.691387e-01,-9.458460e-01,-2.770698e-01
102,Jugal_RIGHT.5.20,normal,-5.312921e+01,-6.005639e+01,-3.089548e+01,-1.488294e-01,-9.662886e-01,-2.100862e-01
103,Jugal_RIGHT.5.21,normal,-5.770222e+01,-5.867873e+01,-2.965145e+01,4.975416e-01,-8.121287e-01,-3.047943e-01
104,Jugal_RIGHT.5.22,normal,-6.228200e+01,-5.759117e+01,-2.816882e+01,-1.774943e-01,-9.049585e-01,-3.867115e-01
105,Jugal_RIGHT.5.23,normal,-6.474528e+01,-5.716097e+01,-2.692956e+01,-3.157168e-01,-7.666302e-01,-5.591075e-01
106,Jugal_RIGHT.5.24,normal,-6.709344e+01,-5.689050e+01,-2.544555e+01,-2.498526e-01,-6.044890e-01,-7.564172e-01
107,Jugal_RIGHT.5.25,normal,-6.959464e+01,-5.655121e+01,-2.425497e+01,-4.126437e-01,-7.833304e-01,-4.648860e-01
108,Jugal_RIGHT.5.26,normal,-7.331288e+01,-5.514003e+01,-2.278446e+01,-6.542832e-01,-6.001544e-01,-4.601394e-01
109,Jugal_RIGHT.5.27,normal,-7.681953e+01,-5.322993e+01,-2.135824e+01,-3.819087e-01,-9.222930e-01,5.933999e-02
110,Jugal_RIGHT.5.28,normal,-8.062827e+01,-5.161644e+01,-2.042582e+01,-4.118476e-01,-7.148339e-01,-5.651497e-01
111,Postorbital_LEFT1.6.01,normal,-6.859412e+01,5.302011e+01,-2.156096e+01,4.343987e-01,3.304590e-01,8.379109e-01
112,Postorbital_LEFT1.6.02,normal,-7.339572e+01,5.051557e+01,-1.785891e+01,1.348862e-01,6.072388e-01,7.829858e-01
113,Postorbital_LEFT1.6.03,normal,-7.810973e+01,4.771718e+01,-1.425635e+01,6.797698e-01,6.673346e-01,-3.042658e-01
114,Postorbital_LEFT1.6.04,normal,-8.062523e+01,4.671768e+01,-8.280701e+00,6.818910e-01,5.756839e-01,4.512347e-01
115,Postorbital_LEFT1.6.05,normal,-8.202016e+01,4.576064e+01,-4.102884e+00,6.339102e-01,6.942496e-01,3.408451e-01
116,Postorbital_LEFT1.6.06,normal,-8.262117e+01,4.512173e+01,3.182439e-01,5.570953e-01,8.111865e-01,-1.778235e-01
117,Postorbital_LEFT1.6.07,normal,-8.244845e+01,4.522462e+01,4.821091e+00,6.803583e-01,7.045043e-01,-2.019563e-01
118,Postorbital_LEFT1.6.08,normal,-8.233227e+01,4.579710e+01,9.161972e+00,5.541322e-01,8.310056e-01,4.865468e-02
119,Postorbital_LEFT1.6.09,normal,-8.196208e+01,4.669055e+01,1.343405e+01,5.565965e-01,7.785747e-01,-2.898653e-01
120,Postorbital_LEFT1.6.10,normal,-8.122424e+01,4.716971e+01,1.772485e+01,-8.741789e-03,9.977451e-01,6.654678e-02
121,Postorbital_LEFT1.6.11,normal,-8.034804e+01,4.720795e+01,1.998867e+01,-1.603051e-01,9.581839e-01,-2.370355e-01
122,Postorbital_LEFT1.6.12,normal,-7.913757e+01,4.708532e+01,2.208966e+01,-7.439223e-02,9.510157e-01,3.000583e-01
123,Postorbital_LEFT1.6.13,normal,-7.795650e+01,4.681770e+01,2.419386e+01,1.764338e-01,9.841195e-01,1.949681e-02
124,Postorbital_LEFT1.6.14,normal,-7.707818e+01,4.633070e+01,2.607632e+01,1.892799e-01,9.620174e-01,1.967124e-01
125,Postorbital_LEFT1.6.15,normal,-7.626884e+01,4.476160e+01,2.727666e+01,-4.043609e-01,9.145114e-01,1.269682e-02
126,Postorbital_LEFT1.6.16,normal,-7.575360e+01,4.467528e+01,2.934464e+01,-2.894990e-01,9.382697e-01,1.893154e-01
127,Postorbital_LEFT2.7.01,normal,-7.969974e+01,4.384181e+01,2.744115e+01,-4.924254e-01,1.136948e-01,8.628967e-01
128,Postorbital_LEFT2.7.02,normal,-8.181245e+01,4.408837e+01,2.243974e+01,-7.488070e-01,4.967332e-01,4.387986e-01
