Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
70,Postorbital_LEFT_1.3.05,normal,-1.09E+01,5.27E+00,-1.32E+01,3.35E-01,-2.26E-02,9.42E-01
71,Postorbital_LEFT_1.3.06,normal,-1.10E+01,5.20E+00,-1.32E+01,4.77E-02,1.60E-01,9.86E-01
72,Postorbital_LEFT_1.3.07,normal,-1.11E+01,5.13E+00,-1.31E+01,6.24E-01,2.69E-01,7.34E-01
73,Postorbital_LEFT_1.3.08,normal,-1.12E+01,5.05E+00,-1.30E+01,3.04E-01,5.90E-01,7.48E-01
74,Postorbital_LEFT_1.3.09,normal,-1.12E+01,4.98E+00,-1.29E+01,7.69E-01,3.52E-01,5.33E-01
75,Postorbital_LEFT_1.3.10,normal,-1.12E+01,4.90E+00,-1.29E+01,6.93E-01,5.15E-01,5.05E-01
76,Postorbital_LEFT_1.3.11,normal,-1.12E+01,4.85E+00,-1.27E+01,5.95E-01,7.99E-01,8.70E-02
77,Postorbital_LEFT_1.3.12,normal,-1.12E+01,4.83E+00,-1.25E+01,6.16E-01,7.82E-01,9.28E-02
78,Postorbital_LEFT_1.3.13,normal,-1.12E+01,4.79E+00,-1.23E+01,6.02E-01,6.98E-01,3.88E-01
79,Postorbital_LEFT_1.3.14,normal,-1.12E+01,4.71E+00,-1.21E+01,4.22E-01,7.72E-01,4.76E-01
80,Postorbital_LEFT_1.3.15,normal,-1.11E+01,4.64E+00,-1.20E+01,9.59E-01,2.68E-01,9.25E-02
81,Postorbital_LEFT_1.3.16,normal,-1.11E+01,4.57E+00,-1.18E+01,3.18E-01,5.60E-01,7.65E-01
82,Postorbital_LEFT_2.4.01,normal,-1.12E+01,4.55E+00,-1.19E+01,-7.88E-01,2.89E-01,5.44E-01
83,Postorbital_LEFT_2.4.02,normal,-1.13E+01,4.63E+00,-1.20E+01,-9.17E-01,2.90E-01,2.75E-01
84,Postorbital_LEFT_2.4.03,normal,-1.13E+01,4.69E+00,-1.22E+01,-9.50E-01,1.44E-01,2.76E-01
85,Postorbital_LEFT_2.4.04,normal,-1.13E+01,4.75E+00,-1.23E+01,-9.16E-01,2.91E-01,2.77E-01
86,Postorbital_LEFT_2.4.05,normal,-1.13E+01,4.79E+00,-1.25E+01,-9.24E-01,2.96E-01,2.41E-01
87,Postorbital_LEFT_2.4.06,normal,-1.14E+01,4.82E+00,-1.26E+01,-9.42E-01,-2.52E-01,2.21E-01
88,Postorbital_LEFT_2.4.07,normal,-1.14E+01,4.85E+00,-1.27E+01,-9.42E-01,-2.35E-01,2.41E-01
89,Postorbital_LEFT_2.4.08,normal,-1.14E+01,4.88E+00,-1.28E+01,-8.92E-01,2.87E-01,3.49E-01
90,Postorbital_LEFT_2.4.09,normal,-1.14E+01,4.90E+00,-1.29E+01,-8.00E-01,5.32E-01,-2.77E-01
91,Postorbital_LEFT_2.4.10,normal,-1.15E+01,4.93E+00,-1.30E+01,-6.53E-01,3.85E-01,6.52E-01
92,Postorbital_LEFT_2.4.11,normal,-1.15E+01,4.97E+00,-1.30E+01,-7.14E-01,3.39E-01,6.12E-01
93,Postorbital_LEFT_2.4.12,normal,-1.16E+01,5.00E+00,-1.31E+01,-6.24E-01,5.24E-01,5.79E-01
94,Postorbital_LEFT_2.4.13,normal,-1.16E+01,5.02E+00,-1.32E+01,-3.95E-01,2.33E-01,8.89E-01
95,Postorbital_LEFT_2.4.14,normal,-1.17E+01,5.07E+00,-1.32E+01,-3.84E-01,6.12E-01,6.92E-01
96,Postorbital_LEFT_2.4.15,normal,-1.18E+01,5.11E+00,-1.33E+01,-2.01E-01,7.08E-01,6.76E-01
97,Postorbital_LEFT_2.4.16,normal,-1.19E+01,5.14E+00,-1.34E+01,5.25E-02,9.83E-01,1.75E-01
98,Postorbital_LEFT_2.4.17,normal,-1.20E+01,5.15E+00,-1.34E+01,-1.72E-02,9.85E-01,-1.69E-01
99,Postorbital_LEFT_2.4.18,normal,-1.21E+01,5.15E+00,-1.34E+01,-2.25E-01,9.50E-01,-2.14E-01
100,Postorbital_LEFT_2.4.19,normal,-1.23E+01,5.15E+00,-1.34E+01,-1.58E-01,9.57E-01,2.44E-01
101,Postorbital_LEFT_2.4.20,normal,-1.24E+01,5.15E+00,-1.35E+01,-1.78E-01,5.12E-01,8.40E-01
102,Postorbital_LEFT_2.4.21,normal,-1.26E+01,5.16E+00,-1.35E+01,-3.03E-01,5.84E-01,7.53E-01
103,Postorbital_LEFT_2.4.22,normal,-1.27E+01,5.17E+00,-1.36E+01,-2.00E-01,7.06E-01,6.79E-01
104,Postorbital_LEFT_2.4.23,normal,-1.28E+01,5.16E+00,-1.36E+01,-1.35E-01,7.32E-01,6.68E-01
105,Postorbital_LEFT_2.4.24,normal,-1.29E+01,5.16E+00,-1.36E+01,-3.63E-01,6.92E-01,6.24E-01
106,Postorbital_LEFT_2.4.25,normal,-1.29E+01,5.16E+00,-1.36E+01,-2.87E-01,5.13E-01,8.09E-01
107,Postorbital_LEFT_2.4.26,normal,-1.31E+01,5.12E+00,-1.37E+01,-4.55E-01,5.50E-03,8.91E-01
108,Postorbital_LEFT_2.4.27,normal,-1.32E+01,5.07E+00,-1.38E+01,-5.07E-01,-2.51E-01,8.24E-01
109,Postorbital_LEFT_2.4.28,normal,-1.33E+01,5.04E+00,-1.38E+01,-5.08E-01,4.30E-01,7.46E-01
110,Postorbital_RIGHT_1.5.01,normal,-9.54E+00,1.10E+00,-1.36E+01,3.24E-01,-6.83E-01,6.55E-01
111,Postorbital_RIGHT_1.5.02,normal,-9.74E+00,1.06E+00,-1.36E+01,1.96E-01,-3.06E-01,9.31E-01
112,Postorbital_RIGHT_1.5.03,normal,-9.95E+00,1.05E+00,-1.36E+01,1.92E-03,-1.12E-01,9.94E-01
