Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
986,Premaxilla_RIGHT.2.8.3,normal,-2.02E+00,2.28E+00,-1.25E+01,3.95E-01,-6.59E-01,6.40E-01
987,Premaxilla_RIGHT.2.8.4,normal,-1.98E+00,2.17E+00,-1.27E+01,9.20E-02,-6.36E-01,7.66E-01
988,Premaxilla_RIGHT.2.8.5,normal,-1.95E+00,2.04E+00,-1.28E+01,5.52E-02,-8.84E-01,4.64E-01
989,Premaxilla_RIGHT.2.8.6,normal,-2.02E+00,1.78E+00,-1.28E+01,-6.70E-02,-8.14E-01,5.77E-01
990,Premaxilla_RIGHT.2.8.7,normal,-1.96E+00,1.59E+00,-1.30E+01,-5.18E-02,-5.35E-01,8.43E-01
991,Premaxilla_RIGHT.2.8.8,normal,-1.86E+00,1.44E+00,-1.32E+01,1.41E-02,-9.79E-01,2.03E-01
992,Premaxilla_RIGHT.2.8.9,normal,-1.70E+00,1.50E+00,-1.33E+01,4.62E-01,-5.70E-01,-6.80E-01
993,Premaxilla_RIGHT.2.9.1,normal,-2.43E+00,2.43E+00,-1.22E+01,1.59E-01,-8.44E-01,5.12E-01
994,Premaxilla_RIGHT.2.9.2,normal,-2.47E+00,2.40E+00,-1.24E+01,3.06E-01,-9.39E-01,1.55E-01
995,Premaxilla_RIGHT.2.9.3,normal,-2.31E+00,2.26E+00,-1.25E+01,-1.10E-01,-9.05E-01,4.10E-01
996,Premaxilla_RIGHT.2.9.4,normal,-2.20E+00,2.18E+00,-1.27E+01,-5.83E-01,-6.56E-01,4.79E-01
997,Premaxilla_RIGHT.2.9.5,normal,-2.13E+00,2.05E+00,-1.28E+01,-7.45E-01,-5.53E-01,3.74E-01
998,Premaxilla_RIGHT.2.9.6,normal,-2.26E+00,1.71E+00,-1.28E+01,1.59E-01,-7.01E-01,6.96E-01
999,Premaxilla_RIGHT.2.9.7,normal,-2.24E+00,1.51E+00,-1.30E+01,-1.36E-01,-7.30E-01,6.70E-01
1000,Premaxilla_RIGHT.2.9.8,normal,-2.24E+00,1.41E+00,-1.32E+01,3.23E-01,-9.27E-01,1.92E-01
1001,Premaxilla_RIGHT.2.9.9,normal,-1.91E+00,1.45E+00,-1.33E+01,-9.04E-02,-7.99E-01,-5.95E-01
1002,Nasal_LEFT.3.1.1,normal,-4.84E+00,2.99E+00,-1.28E+01,2.93E-01,5.37E-01,7.91E-01
1003,Nasal_LEFT.3.1.2,normal,-4.42E+00,2.55E+00,-1.28E+01,-8.72E-02,4.45E-02,-9.95E-01
1004,Nasal_LEFT.3.1.3,normal,-4.22E+00,2.66E+00,-1.28E+01,-1.97E-02,9.99E-01,-4.35E-02
1005,Nasal_LEFT.3.1.4,normal,-4.20E+00,2.64E+00,-1.28E+01,1.11E-01,3.14E-01,9.43E-01
1006,Nasal_LEFT.3.1.5,normal,-4.26E+00,2.61E+00,-1.28E+01,-1.23E-01,-1.64E-01,9.79E-01
1007,Nasal_LEFT.3.1.6,normal,-4.34E+00,2.56E+00,-1.28E+01,2.30E-01,-9.17E-02,9.69E-01
1008,Nasal_LEFT.3.1.7,normal,-4.43E+00,2.48E+00,-1.27E+01,-3.90E-02,2.72E-02,9.99E-01
1009,Nasal_LEFT.3.1.8,normal,-4.55E+00,2.39E+00,-1.27E+01,-1.14E-02,4.24E-01,9.05E-01
1010,Nasal_LEFT.3.1.9,normal,-4.71E+00,2.31E+00,-1.27E+01,-7.64E-01,-1.45E-02,6.46E-01
1011,Nasal_LEFT.3.2.1,normal,-5.08E+00,3.08E+00,-1.28E+01,3.26E-01,1.72E-01,9.30E-01
1012,Nasal_LEFT.3.2.2,normal,-4.85E+00,2.90E+00,-1.28E+01,3.28E-01,2.04E-01,9.22E-01
1013,Nasal_LEFT.3.2.3,normal,-4.73E+00,2.79E+00,-1.28E+01,-3.37E-01,4.27E-01,8.39E-01
1014,Nasal_LEFT.3.2.4,normal,-4.69E+00,2.69E+00,-1.28E+01,1.29E-01,1.89E-01,9.73E-01
1015,Nasal_LEFT.3.2.5,normal,-4.75E+00,2.62E+00,-1.27E+01,-1.23E-01,5.77E-01,8.08E-01
1016,Nasal_LEFT.3.2.6,normal,-4.84E+00,2.53E+00,-1.27E+01,7.76E-02,2.60E-01,9.63E-01
1017,Nasal_LEFT.3.2.7,normal,-4.95E+00,2.41E+00,-1.27E+01,2.33E-01,4.57E-01,8.59E-01
1018,Nasal_LEFT.3.2.8,normal,-5.10E+00,2.31E+00,-1.26E+01,8.91E-02,7.59E-01,6.45E-01
1019,Nasal_LEFT.3.2.9,normal,-5.31E+00,2.16E+00,-1.24E+01,-1.95E-03,-9.91E-01,-1.37E-01
1020,Nasal_LEFT.3.3.1,normal,-5.32E+00,3.09E+00,-1.28E+01,7.69E-02,6.00E-01,7.96E-01
1021,Nasal_LEFT.3.3.2,normal,-5.19E+00,2.96E+00,-1.28E+01,4.31E-02,8.77E-01,4.79E-01
1022,Nasal_LEFT.3.3.3,normal,-5.14E+00,2.85E+00,-1.28E+01,-1.93E-01,6.97E-01,6.90E-01
1023,Nasal_LEFT.3.3.4,normal,-5.16E+00,2.74E+00,-1.27E+01,2.32E-02,8.60E-02,9.96E-01
1024,Nasal_LEFT.3.3.5,normal,-5.22E+00,2.62E+00,-1.27E+01,-4.33E-02,-5.47E-02,9.98E-01
1025,Nasal_LEFT.3.3.6,normal,-5.33E+00,2.48E+00,-1.27E+01,1.74E-02,1.09E-01,9.94E-01
1026,Nasal_LEFT.3.3.7,normal,-5.49E+00,2.37E+00,-1.26E+01,1.43E-01,5.99E-01,7.88E-01
1027,Nasal_LEFT.3.3.8,normal,-5.69E+00,2.24E+00,-1.25E+01,-4.34E-02,8.00E-01,5.98E-01
1028,Nasal_LEFT.3.3.9,normal,-5.91E+00,2.11E+00,-1.24E+01,3.06E-03,-9.98E-01,-5.81E-02
1029,Nasal_LEFT.3.4.1,normal,-5.55E+00,3.15E+00,-1.28E+01,2.92E-01,3.37E-02,9.56E-01
1030,Nasal_LEFT.3.4.2,normal,-5.51E+00,3.02E+00,-1.28E+01,1.51E-01,3.78E-01,9.13E-01
1031,Nasal_LEFT.3.4.3,normal,-5.52E+00,2.88E+00,-1.27E+01,1.29E-01,5.88E-01,7.98E-01
1032,Nasal_LEFT.3.4.4,normal,-5.59E+00,2.76E+00,-1.27E+01,1.21E-01,-1.73E-01,9.78E-01
1033,Nasal_LEFT.3.4.5,normal,-5.69E+00,2.61E+00,-1.27E+01,2.59E-01,-1.23E-02,9.66E-01
1034,Nasal_LEFT.3.4.6,normal,-5.84E+00,2.48E+00,-1.26E+01,1.28E-01,1.49E-01,9.80E-01
1035,Nasal_LEFT.3.4.7,normal,-6.02E+00,2.35E+00,-1.26E+01,-3.66E-02,4.77E-01,8.78E-01
1036,Nasal_LEFT.3.4.8,normal,-6.23E+00,2.21E+00,-1.25E+01,-1.65E-02,8.99E-01,4.37E-01
1037,Nasal_LEFT.3.4.9,normal,-6.50E+00,2.08E+00,-1.23E+01,-6.87E-02,-4.45E-01,8.93E-01
1038,Nasal_LEFT.3.5.1,normal,-5.77E+00,3.19E+00,-1.28E+01,1.08E-01,-3.26E-01,9.39E-01
1039,Nasal_LEFT.3.5.2,normal,-5.81E+00,3.04E+00,-1.27E+01,6.23E-02,2.80E-01,9.58E-01
1040,Nasal_LEFT.3.5.3,normal,-5.89E+00,2.90E+00,-1.26E+01,4.89E-02,2.89E-01,9.56E-01
1041,Nasal_LEFT.3.5.4,normal,-5.99E+00,2.74E+00,-1.27E+01,1.24E-01,6.39E-01,7.60E-01
1042,Nasal_LEFT.3.5.5,normal,-6.14E+00,2.60E+00,-1.26E+01,-1.24E-01,4.95E-01,8.60E-01
1043,Nasal_LEFT.3.5.6,normal,-6.32E+00,2.47E+00,-1.26E+01,2.19E-01,2.03E-01,9.54E-01
1044,Nasal_LEFT.3.5.7,normal,-6.53E+00,2.32E+00,-1.25E+01,1.21E-01,3.44E-01,9.31E-01
1045,Nasal_LEFT.3.5.8,normal,-6.78E+00,2.19E+00,-1.25E+01,1.72E-01,3.92E-01,9.04E-01
1046,Nasal_LEFT.3.5.9,normal,-7.06E+00,2.07E+00,-1.24E+01,1.11E-02,4.56E-01,8.90E-01
1047,Nasal_LEFT.3.6.1,normal,-5.98E+00,3.20E+00,-1.27E+01,1.65E-01,5.17E-01,8.40E-01
1048,Nasal_LEFT.3.6.2,normal,-6.09E+00,3.04E+00,-1.27E+01,2.92E-01,1.34E-01,9.47E-01
1049,Nasal_LEFT.3.6.3,normal,-6.23E+00,2.89E+00,-1.26E+01,1.71E-01,4.60E-02,9.84E-01
1050,Nasal_LEFT.3.6.4,normal,-6.39E+00,2.74E+00,-1.26E+01,4.10E-03,-1.52E-01,9.88E-01
1051,Nasal_LEFT.3.6.5,normal,-6.57E+00,2.59E+00,-1.26E+01,3.17E-01,-9.59E-02,9.44E-01
1052,Nasal_LEFT.3.6.6,normal,-6.78E+00,2.45E+00,-1.25E+01,2.23E-01,5.10E-01,8.30E-01
1053,Nasal_LEFT.3.6.7,normal,-7.02E+00,2.32E+00,-1.24E+01,-5.71E-02,2.28E-01,9.72E-01
1054,Nasal_LEFT.3.6.8,normal,-7.29E+00,2.17E+00,-1.24E+01,-1.31E-02,1.88E-01,9.82E-01
1055,Nasal_LEFT.3.6.9,normal,-7.60E+00,2.04E+00,-1.23E+01,9.48E-02,6.27E-02,9.94E-01
1056,Nasal_LEFT.3.7.1,normal,-6.21E+00,3.16E+00,-1.26E+01,3.15E-01,6.95E-02,9.47E-01
1057,Nasal_LEFT.3.7.2,normal,-6.37E+00,3.02E+00,-1.26E+01,4.30E-02,3.85E-01,9.22E-01
1058,Nasal_LEFT.3.7.3,normal,-6.56E+00,2.87E+00,-1.26E+01,1.40E-01,-1.33E-01,9.81E-01
1059,Nasal_LEFT.3.7.4,normal,-6.77E+00,2.71E+00,-1.25E+01,5.12E-01,1.50E-01,8.46E-01
1060,Nasal_LEFT.3.7.5,normal,-6.99E+00,2.56E+00,-1.25E+01,2.61E-01,3.92E-02,9.65E-01
1061,Nasal_LEFT.3.7.6,normal,-7.23E+00,2.43E+00,-1.24E+01,5.96E-02,2.18E-01,9.74E-01
1062,Nasal_LEFT.3.7.7,normal,-7.49E+00,2.30E+00,-1.24E+01,5.80E-02,1.95E-01,9.79E-01
1063,Nasal_LEFT.3.7.8,normal,-7.79E+00,2.17E+00,-1.23E+01,1.46E-01,1.87E-01,9.71E-01
1064,Nasal_LEFT.3.7.9,normal,-8.11E+00,2.02E+00,-1.22E+01,3.65E-01,-1.18E-01,9.24E-01
1065,Nasal_LEFT.3.8.1,normal,-6.44E+00,3.08E+00,-1.26E+01,3.65E-01,2.32E-01,9.02E-01
1066,Nasal_LEFT.3.8.2,normal,-6.64E+00,2.95E+00,-1.25E+01,5.74E-01,2.21E-01,7.89E-01
1067,Nasal_LEFT.3.8.3,normal,-6.88E+00,2.82E+00,-1.25E+01,-2.30E-01,2.26E-01,9.47E-01
1068,Nasal_LEFT.3.8.4,normal,-7.14E+00,2.66E+00,-1.25E+01,3.92E-01,2.19E-01,8.94E-01
1069,Nasal_LEFT.3.8.5,normal,-7.40E+00,2.52E+00,-1.24E+01,1.69E-01,-1.65E-01,9.72E-01
1070,Nasal_LEFT.3.8.6,normal,-7.66E+00,2.42E+00,-1.24E+01,-9.69E-02,-8.83E-02,9.91E-01
1071,Nasal_LEFT.3.8.7,normal,-7.93E+00,2.31E+00,-1.23E+01,1.57E-01,3.15E-01,9.36E-01
1072,Nasal_LEFT.3.8.8,normal,-8.24E+00,2.18E+00,-1.22E+01,2.13E-01,3.12E-01,9.26E-01
1073,Nasal_LEFT.3.8.9,normal,-8.66E+00,2.07E+00,-1.23E+01,2.82E-01,-1.99E-01,9.39E-01
1074,Nasal_LEFT.3.9.1,normal,-6.69E+00,2.94E+00,-1.25E+01,2.96E-01,-1.50E-01,9.43E-01
1075,Nasal_LEFT.3.9.2,normal,-6.85E+00,2.86E+00,-1.25E+01,-7.16E-01,6.95E-01,-6.18E-02
1076,Nasal_LEFT.3.9.3,normal,-7.15E+00,2.74E+00,-1.25E+01,2.68E-02,7.02E-01,7.12E-01
1077,Nasal_LEFT.3.9.4,normal,-7.48E+00,2.60E+00,-1.24E+01,3.40E-01,-2.84E-01,8.97E-01
1078,Nasal_LEFT.3.9.5,normal,-7.79E+00,2.48E+00,-1.24E+01,2.81E-01,-3.90E-01,8.77E-01
1079,Nasal_LEFT.3.9.6,normal,-8.06E+00,2.40E+00,-1.23E+01,4.70E-01,-4.21E-01,7.76E-01
1080,Nasal_LEFT.3.9.7,normal,-8.32E+00,2.37E+00,-1.22E+01,1.32E-01,-7.93E-01,5.95E-01
1081,Nasal_LEFT.3.9.8,normal,-8.64E+00,2.28E+00,-1.22E+01,1.61E-01,5.39E-02,9.85E-01
1082,Nasal_LEFT.3.9.9,normal,-9.12E+00,2.07E+00,-1.22E+01,4.19E-02,3.08E-01,9.50E-01
1083,Nasal_RIGHT.4.1.1,normal,-4.67E+00,2.14E+00,-1.27E+01,2.09E-01,-3.34E-01,9.19E-01
1084,Nasal_RIGHT.4.1.2,normal,-4.65E+00,2.07E+00,-1.28E+01,1.23E-01,-5.85E-01,8.01E-01
1085,Nasal_RIGHT.4.1.3,normal,-4.48E+00,2.04E+00,-1.28E+01,-5.41E-03,-7.00E-01,7.14E-01
1086,Nasal_RIGHT.4.1.4,normal,-4.33E+00,2.03E+00,-1.29E+01,1.22E-01,-8.70E-01,4.78E-01
1087,Nasal_RIGHT.4.1.5,normal,-4.31E+00,2.00E+00,-1.29E+01,1.60E-01,-8.81E-01,4.45E-01
1088,Nasal_RIGHT.4.1.6,normal,-4.44E+00,1.95E+00,-1.30E+01,-1.46E-01,-9.41E-01,-3.04E-01
1089,Nasal_RIGHT.4.1.7,normal,-4.66E+00,1.85E+00,-1.30E+01,1.92E-01,-9.47E-01,2.58E-01
1090,Nasal_RIGHT.4.1.8,normal,-4.84E+00,1.76E+00,-1.31E+01,3.14E-01,-6.80E-01,6.63E-01
1091,Nasal_RIGHT.4.1.9,normal,-4.75E+00,1.74E+00,-1.32E+01,-1.61E-01,-6.56E-01,7.38E-01
1092,Nasal_RIGHT.4.2.1,normal,-4.72E+00,2.02E+00,-1.28E+01,-3.79E-02,-6.93E-01,7.20E-01
1093,Nasal_RIGHT.4.2.2,normal,-4.85E+00,2.05E+00,-1.28E+01,-1.11E-01,-4.87E-01,8.66E-01
1094,Nasal_RIGHT.4.2.3,normal,-4.85E+00,2.03E+00,-1.28E+01,-5.10E-02,-5.50E-01,8.34E-01
1095,Nasal_RIGHT.4.2.4,normal,-4.83E+00,2.00E+00,-1.28E+01,-1.00E-01,-6.33E-01,7.68E-01
1096,Nasal_RIGHT.4.2.5,normal,-4.83E+00,1.95E+00,-1.29E+01,-1.78E-02,-6.72E-01,7.40E-01
1097,Nasal_RIGHT.4.2.6,normal,-4.91E+00,1.89E+00,-1.29E+01,-9.15E-02,-5.71E-01,8.16E-01
1098,Nasal_RIGHT.4.2.7,normal,-4.99E+00,1.82E+00,-1.30E+01,-9.40E-03,-6.93E-01,7.21E-01
1099,Nasal_RIGHT.4.2.8,normal,-5.04E+00,1.80E+00,-1.31E+01,4.55E-01,-1.22E-01,8.82E-01
1100,Nasal_RIGHT.4.2.9,normal,-4.97E+00,1.71E+00,-1.33E+01,2.80E-01,-6.19E-02,9.58E-01
1101,Nasal_RIGHT.4.3.1,normal,-5.01E+00,1.98E+00,-1.29E+01,-9.03E-02,-3.95E-01,9.14E-01
1102,Nasal_RIGHT.4.3.2,normal,-5.21E+00,2.03E+00,-1.28E+01,1.17E-02,-6.81E-01,7.32E-01
1103,Nasal_RIGHT.4.3.3,normal,-5.29E+00,2.02E+00,-1.28E+01,8.25E-02,-6.20E-01,7.80E-01
1104,Nasal_RIGHT.4.3.4,normal,-5.32E+00,1.99E+00,-1.28E+01,1.23E-01,-5.46E-01,8.29E-01
1105,Nasal_RIGHT.4.3.5,normal,-5.34E+00,1.94E+00,-1.29E+01,1.54E-01,-4.36E-01,8.86E-01
1106,Nasal_RIGHT.4.3.6,normal,-5.36E+00,1.86E+00,-1.29E+01,-1.27E-01,-5.25E-01,8.41E-01
1107,Nasal_RIGHT.4.3.7,normal,-5.36E+00,1.78E+00,-1.29E+01,1.52E-01,-6.75E-01,7.22E-01
1108,Nasal_RIGHT.4.3.8,normal,-5.30E+00,1.72E+00,-1.30E+01,1.35E-01,-7.85E-01,6.05E-01
1109,Nasal_RIGHT.4.3.9,normal,-5.17E+00,1.68E+00,-1.32E+01,4.47E-01,-1.09E-01,8.88E-01
1110,Nasal_RIGHT.4.4.1,normal,-5.44E+00,2.02E+00,-1.28E+01,8.69E-02,-5.31E-01,8.43E-01
1111,Nasal_RIGHT.4.4.2,normal,-5.64E+00,2.00E+00,-1.27E+01,1.97E-01,-5.52E-01,8.10E-01
1112,Nasal_RIGHT.4.4.3,normal,-5.76E+00,1.96E+00,-1.27E+01,2.40E-01,-2.88E-01,9.27E-01
1113,Nasal_RIGHT.4.4.4,normal,-5.81E+00,1.92E+00,-1.28E+01,1.73E-01,-4.88E-01,8.56E-01
1114,Nasal_RIGHT.4.4.5,normal,-5.81E+00,1.86E+00,-1.28E+01,9.60E-02,-4.45E-01,8.90E-01
1115,Nasal_RIGHT.4.4.6,normal,-5.78E+00,1.79E+00,-1.28E+01,1.26E-01,-5.49E-01,8.26E-01
1116,Nasal_RIGHT.4.4.7,normal,-5.70E+00,1.73E+00,-1.29E+01,1.71E-01,-7.59E-01,6.28E-01
1117,Nasal_RIGHT.4.4.8,normal,-5.57E+00,1.69E+00,-1.30E+01,1.23E-01,-8.92E-01,4.35E-01
1118,Nasal_RIGHT.4.4.9,normal,-5.40E+00,1.66E+00,-1.32E+01,4.67E-01,3.93E-01,7.93E-01
1119,Nasal_RIGHT.4.5.1,normal,-6.04E+00,2.05E+00,-1.26E+01,-2.89E-01,-2.20E-01,9.32E-01
1120,Nasal_RIGHT.4.5.2,normal,-6.17E+00,2.00E+00,-1.26E+01,-2.49E-01,-7.52E-01,6.10E-01
1121,Nasal_RIGHT.4.5.3,normal,-6.26E+00,1.93E+00,-1.27E+01,5.09E-01,-4.34E-01,7.43E-01
1122,Nasal_RIGHT.4.5.4,normal,-6.29E+00,1.88E+00,-1.27E+01,7.87E-02,-7.91E-01,6.07E-01
1123,Nasal_RIGHT.4.5.5,normal,-6.27E+00,1.82E+00,-1.28E+01,1.58E-01,-5.49E-01,8.21E-01
1124,Nasal_RIGHT.4.5.6,normal,-6.19E+00,1.77E+00,-1.28E+01,2.47E-01,-7.71E-01,5.87E-01
1125,Nasal_RIGHT.4.5.7,normal,-6.03E+00,1.68E+00,-1.29E+01,3.25E-01,-3.76E-01,8.68E-01
1126,Nasal_RIGHT.4.5.8,normal,-5.84E+00,1.62E+00,-1.30E+01,2.18E-01,-6.55E-01,7.23E-01
1127,Nasal_RIGHT.4.5.9,normal,-5.61E+00,1.62E+00,-1.31E+01,3.45E-01,-8.12E-01,4.71E-01
1128,Nasal_RIGHT.4.6.1,normal,-6.71E+00,2.13E+00,-1.24E+01,3.25E-02,8.33E-01,5.52E-01
1129,Nasal_RIGHT.4.6.2,normal,-6.75E+00,2.00E+00,-1.25E+01,-2.11E-01,-8.30E-01,5.17E-01
1130,Nasal_RIGHT.4.6.3,normal,-6.77E+00,1.90E+00,-1.26E+01,1.11E-01,-4.10E-01,9.05E-01
1131,Nasal_RIGHT.4.6.4,normal,-6.76E+00,1.82E+00,-1.26E+01,3.24E-01,-4.48E-01,8.33E-01
1132,Nasal_RIGHT.4.6.5,normal,-6.70E+00,1.77E+00,-1.27E+01,-2.94E-01,-4.21E-01,8.58E-01
1133,Nasal_RIGHT.4.6.6,normal,-6.55E+00,1.71E+00,-1.28E+01,7.25E-02,-5.09E-01,8.58E-01
1134,Nasal_RIGHT.4.6.7,normal,-6.34E+00,1.65E+00,-1.29E+01,-2.06E-01,-1.01E-01,9.73E-01
1135,Nasal_RIGHT.4.6.8,normal,-6.09E+00,1.55E+00,-1.29E+01,3.21E-01,-7.06E-01,6.31E-01
1136,Nasal_RIGHT.4.6.9,normal,-5.83E+00,1.60E+00,-1.30E+01,3.90E-01,-8.61E-01,-3.26E-01
1137,Nasal_RIGHT.4.7.1,normal,-7.43E+00,2.19E+00,-1.24E+01,-3.14E-03,2.09E-01,9.78E-01
1138,Nasal_RIGHT.4.7.2,normal,-7.34E+00,1.97E+00,-1.24E+01,-1.99E-01,-7.70E-01,6.06E-01
1139,Nasal_RIGHT.4.7.3,normal,-7.28E+00,1.84E+00,-1.25E+01,2.26E-01,-4.88E-01,8.43E-01
1140,Nasal_RIGHT.4.7.4,normal,-7.23E+00,1.75E+00,-1.26E+01,4.91E-02,-5.53E-01,8.32E-01
1141,Nasal_RIGHT.4.7.5,normal,-7.10E+00,1.69E+00,-1.26E+01,1.62E-01,-8.12E-01,5.61E-01
1142,Nasal_RIGHT.4.7.6,normal,-6.89E+00,1.64E+00,-1.27E+01,3.21E-01,-2.42E-01,9.16E-01
1143,Nasal_RIGHT.4.7.7,normal,-6.61E+00,1.60E+00,-1.29E+01,2.57E-01,-6.04E-01,7.55E-01
1144,Nasal_RIGHT.4.7.8,normal,-6.30E+00,1.50E+00,-1.29E+01,2.12E-01,-3.78E-01,9.01E-01
1145,Nasal_RIGHT.4.7.9,normal,-6.03E+00,1.53E+00,-1.30E+01,-8.54E-02,-8.95E-01,-4.38E-01
1146,Nasal_RIGHT.4.8.1,normal,-8.21E+00,2.19E+00,-1.22E+01,-1.55E-01,1.87E-01,9.70E-01
1147,Nasal_RIGHT.4.8.2,normal,-7.96E+00,1.89E+00,-1.23E+01,2.66E-01,-6.49E-01,7.13E-01
1148,Nasal_RIGHT.4.8.3,normal,-7.78E+00,1.74E+00,-1.24E+01,3.68E-01,-3.03E-01,8.79E-01
1149,Nasal_RIGHT.4.8.4,normal,-7.70E+00,1.63E+00,-1.25E+01,2.21E-01,-6.17E-01,7.55E-01
1150,Nasal_RIGHT.4.8.5,normal,-7.53E+00,1.59E+00,-1.26E+01,1.70E-01,-6.07E-01,7.77E-01
1151,Nasal_RIGHT.4.8.6,normal,-7.20E+00,1.55E+00,-1.27E+01,1.73E-01,-3.63E-01,9.15E-01
1152,Nasal_RIGHT.4.8.7,normal,-6.81E+00,1.50E+00,-1.28E+01,3.15E-01,-2.92E-01,9.03E-01
1153,Nasal_RIGHT.4.8.8,normal,-6.46E+00,1.46E+00,-1.29E+01,3.51E-01,-4.15E-01,8.40E-01
1154,Nasal_RIGHT.4.8.9,normal,-6.22E+00,1.45E+00,-1.30E+01,-2.39E-01,-6.90E-01,-6.84E-01
1155,Nasal_RIGHT.4.9.1,normal,-9.10E+00,1.92E+00,-1.22E+01,-1.78E-01,-5.60E-02,9.82E-01
1156,Nasal_RIGHT.4.9.2,normal,-8.38E+00,1.70E+00,-1.23E+01,-1.30E-01,1.20E-01,9.84E-01
1157,Nasal_RIGHT.4.9.3,normal,-8.22E+00,1.59E+00,-1.23E+01,-6.49E-01,2.09E-01,7.31E-01
1158,Nasal_RIGHT.4.9.4,normal,-8.01E+00,1.64E+00,-1.22E+01,-6.62E-01,-2.67E-01,7.01E-01
1159,Nasal_RIGHT.4.9.5,normal,-7.81E+00,1.51E+00,-1.24E+01,8.04E-01,4.03E-01,4.37E-01
1160,Nasal_RIGHT.4.9.6,normal,-7.45E+00,1.46E+00,-1.27E+01,4.57E-01,-1.03E-01,8.83E-01
1161,Nasal_RIGHT.4.9.7,normal,-6.89E+00,1.41E+00,-1.28E+01,1.26E-01,-3.76E-01,9.18E-01
1162,Nasal_RIGHT.4.9.8,normal,-6.44E+00,1.36E+00,-1.30E+01,1.93E-01,-6.09E-01,7.70E-01
1163,Nasal_RIGHT.4.9.9,normal,-6.37E+00,1.35E+00,-1.30E+01,1.81E-01,-5.44E-01,8.19E-01
1164,Postfrontal_LEFT.5.1.1,normal,-1.13E+01,4.38E+00,-1.20E+01,-2.58E-01,3.68E-01,8.93E-01
1165,Postfrontal_LEFT.5.1.2,normal,-1.11E+01,4.11E+00,-1.19E+01,-1.89E-02,1.84E-01,9.83E-01
1166,Postfrontal_LEFT.5.1.3,normal,-1.07E+01,3.78E+00,-1.18E+01,-8.33E-02,6.73E-02,9.94E-01
1167,Postfrontal_LEFT.5.1.4,normal,-1.03E+01,3.47E+00,-1.18E+01,-1.46E-01,3.21E-02,9.89E-01
1168,Postfrontal_LEFT.5.1.5,normal,-1.02E+01,3.19E+00,-1.20E+01,3.84E-01,-6.34E-02,9.21E-01
1169,Postfrontal_LEFT.5.1.6,normal,-1.03E+01,2.97E+00,-1.20E+01,2.69E-01,-2.46E-01,9.31E-01
1170,Postfrontal_LEFT.5.1.7,normal,-1.06E+01,2.77E+00,-1.19E+01,2.92E-01,-6.13E-01,7.35E-01
1171,Postfrontal_LEFT.5.1.8,normal,-1.09E+01,2.58E+00,-1.20E+01,-2.03E-01,1.95E-01,9.60E-01
1172,Postfrontal_LEFT.5.1.9,normal,-1.10E+01,2.25E+00,-1.21E+01,1.62E-01,-1.57E-01,9.74E-01
1173,Postfrontal_LEFT.5.2.1,normal,-1.14E+01,4.42E+00,-1.21E+01,-4.08E-01,8.80E-01,2.43E-01
1174,Postfrontal_LEFT.5.2.2,normal,-1.12E+01,4.22E+00,-1.20E+01,7.13E-01,3.60E-01,6.02E-01
1175,Postfrontal_LEFT.5.2.3,normal,-1.10E+01,4.02E+00,-1.19E+01,-1.40E-02,1.70E-01,9.85E-01
1176,Postfrontal_LEFT.5.2.4,normal,-1.08E+01,3.75E+00,-1.18E+01,1.58E-01,3.00E-01,9.41E-01
1177,Postfrontal_LEFT.5.2.5,normal,-1.07E+01,3.49E+00,-1.18E+01,1.89E-01,-1.10E-01,9.76E-01
1178,Postfrontal_LEFT.5.2.6,normal,-1.08E+01,3.22E+00,-1.18E+01,8.19E-02,-9.58E-02,9.92E-01
1179,Postfrontal_LEFT.5.2.7,normal,-1.09E+01,2.95E+00,-1.18E+01,9.88E-02,-2.04E-01,9.74E-01
1180,Postfrontal_LEFT.5.2.8,normal,-1.11E+01,2.66E+00,-1.19E+01,-8.58E-03,-2.72E-01,9.62E-01
1181,Postfrontal_LEFT.5.2.9,normal,-1.12E+01,2.38E+00,-1.20E+01,-8.10E-02,-9.92E-02,9.92E-01
1182,Postfrontal_LEFT.5.3.1,normal,-1.16E+01,4.47E+00,-1.23E+01,1.16E-02,8.97E-01,4.43E-01
1183,Postfrontal_LEFT.5.3.2,normal,-1.15E+01,4.33E+00,-1.22E+01,-1.89E-01,8.85E-01,4.26E-01
1184,Postfrontal_LEFT.5.3.3,normal,-1.14E+01,4.21E+00,-1.19E+01,-5.70E-01,-5.35E-02,8.20E-01
1185,Postfrontal_LEFT.5.3.4,normal,-1.13E+01,3.97E+00,-1.18E+01,-3.44E-01,3.19E-01,8.83E-01
1186,Postfrontal_LEFT.5.3.5,normal,-1.13E+01,3.71E+00,-1.17E+01,-1.53E-02,1.04E-01,9.94E-01
1187,Postfrontal_LEFT.5.3.6,normal,-1.13E+01,3.42E+00,-1.17E+01,5.00E-02,-1.05E-01,9.93E-01
1188,Postfrontal_LEFT.5.3.7,normal,-1.13E+01,3.11E+00,-1.18E+01,-1.42E-02,-2.02E-01,9.79E-01
1189,Postfrontal_LEFT.5.3.8,normal,-1.13E+01,2.76E+00,-1.19E+01,6.96E-02,2.10E-01,9.75E-01
1190,Postfrontal_LEFT.5.3.9,normal,-1.13E+01,2.36E+00,-1.21E+01,-4.73E-01,4.54E-01,7.55E-01
